year,Quarter,Total hourly rates of pay Private and Public,Percent increase,Perecentage increase
1997,3,66.6,0,0
1997,4,67.2,0.7,1
1998,1,67.8,0.9,1
1998,2,68.3,0.4,1
1998,3,68.8,1.2,1
1998,4,69.3,0.6,1
1999,1,69.9,0.6,1
1999,2,70.4,0.6,1
1999,3,70.9,1,1
1999,4,71.4,0.6,1
2000,1,71.8,0.7,1
2000,2,72.5,0.7,1
2000,3,73.1,1.2,1
2000,4,73.8,0.8,1
2001,1,74.5,0.9,1
2001,2,75.2,0.5,1
2001,3,75.7,1.2,1
2001,4,76.3,0.7,1
2002,1,76.9,0.7,1
2002,2,77.5,0.6,1
2002,3,78.2,1.4,1
2002,4,78.9,0.6,1
2003,1,79.7,0.8,1
2003,2,80.3,0.5,1
2003,3,81,1.1,1
2003,4,81.8,1,1
2004,1,82.5,0.6,1
2004,2,83.1,0.6,1
2004,3,83.9,1.3,1
2004,4,84.8,0.9,1
2005,1,85.7,0.8,1
2005,2,86.5,0.8,1
2005,3,87.4,1.3,1
2005,4,88.2,0.9,1
2006,1,89.2,1,1
2006,2,90.1,0.8,1
2006,3,90.9,1,1
2006,4,91.9,0.9,1
2007,1,92.8,1.1,1
2007,2,93.8,0.9,1
2007,3,94.7,1.3,1
2007,4,95.6,1.1,1
2008,1,96.6,0.9,1
2008,2,97.7,1,1
2008,3,98.7,1.1,1
2008,4,99.7,1.1,1
2009,1,100.6,0.7,1
2009,2,101.4,0.5,1
2009,3,101.8,0.8,1
2009,4,102.6,0.5,1
2010,1,103.6,0.8,1
2010,2,104.4,0.7,1
2010,3,105.5,1.5,1
2010,4,106.6,0.9,1
2011,1,107.6,0.8,1
2011,2,108.4,0.6,1
2011,3,109.3,1.4,1
2011,4,110.4,0.9,1
2012,1,111.5,0.8,1
2012,2,112.5,0.7,1
2012,3,113.4,1.2,1
2012,4,114.2,0.7,1
2013,1,115,0.5,1
2013,2,115.7,0.5,1
2013,3,116.4,1,1
2013,4,117.2,0.5,1
2014,1,118.1,0.6,1
2014,2,118.7,0.4,1
2014,3,119.4,0.9,1
2014,4,120.1,0.5,1
2015,1,120.8,0.3,1
2015,2,121.4,0.4,1
2015,3,122.1,0.8,1
2015,4,122.7,0.4,1
2016,1,123.3,0.3,1
2016,2,123.9,0.3,1
2016,3,124.4,0.8,1
2016,4,125,0.3,1
2017,1,125.7,0.3,1
2017,2,126.3,0.4,1
2017,3,126.9,0.8,1
2017,4,127.6,0.4,1
2018,1,128.2,0.4,1
2018,2,129,0.4,1
2018,3,129.8,1,1
2018,4,130.6,0.5,1
2019,1,131.2,0.4,1
2019,2,132,0.4,1
2019,3,132.7,0.9,1
2019,4,133.4,0.5,1
2020,1,134.1,0.4,1
2020,2,134.4,-0.1,0
2020,3,134.6,0.5,1
2020,4,135.3,0.5,1
2021,1,136,0.5,1
2021,2,136.8,0.3,1
2021,3,137.5,1,1
2021,4,138.4,0.6,1
2022,1,139.2,0.5,1
2022,2,140.4,0.7,1
2022,3,141.9,1.7,1
2022,4,143.1,0.8,1
2023,1,144.3,0.7,1
